u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Pagerank,district
25718048,302805863,0,153.97699999999998,0,4,20.004802364240856,0.049978763872730966,0.001483782437905259,0.0001571839733929034,ITAIM BIBI
25718048,3216234212,0,146.88,0,5,19.706686368673807,0.05073482547894875,0.0017052864534426043,0.00018472148712444706,ITAIM BIBI
25718063,1111669179,0,36.932,0,4,21.56206132249723,0.04636918886042986,0.0015199363429523442,0.00017493491232313608,ITAIM BIBI
25718063,25718068,0,133.453,0,4,20.661987439970446,0.048389115354358865,0.0024048072587880163,0.0001762010790664791,ITAIM BIBI
25718068,3216234213,0,21.99,0,4,20.14314739564093,0.04963550502040255,0.012007186283895513,0.00017202227869906198,ITAIM BIBI
25718068,7291546979,0,163.477,0,4,19.702253417066864,0.0507462406719916,0.009626590690025907,0.0001724458095233015,ITAIM BIBI
25718073,25719024,0,115.019,0,4,21.37735500554119,0.046769831600957344,0.010585405339261047,0.00017763141835051846,ITAIM BIBI
25718073,1111669076,0,44.574,0,4,21.357591429626893,0.04681311078439851,0.02806557304103092,0.00017415388969837392,ITAIM BIBI
25718073,3216234213,0,70.746,0,4,20.412633912079794,0.04898021970067141,0.03692344336989731,0.00017265672332809247,ITAIM BIBI
25719024,301650840,0,50.254,0,4,22.3088289619505,0.044817022685875146,0.004621810522127826,0.00017814407210866,ITAIM BIBI
25719024,1373371441,0,96.098,0,4,22.28684891023273,0.04486122276460497,0.011715173973899826,0.00017723461953364028,ITAIM BIBI
25719062,301650843,0,81.269,0,5,22.603620243812337,0.044232529254102114,0.001067112772045866,0.00019313448942739078,ITAIM BIBI
25719062,1111669140,0,105.74600000000001,0,4,21.650535648319174,0.04617970242970243,0.013063665554456943,0.00016384221973683773,ITAIM BIBI
25719062,1373371441,0,94.68599999999999,0,4,22.601034355374953,0.0442375901015021,0.01184833813095108,0.000170528500796556,ITAIM BIBI
25719389,1373371464,0,23.475,0,4,22.204100480236423,0.045028407909294334,0.0019074865739774334,0.00016729833627658527,ITAIM BIBI
25719389,1373371457,0,82.269,0,4,21.974510528260065,0.04549886526014962,0.0003806793531428377,0.0001693610117896904,ITAIM BIBI
25719389,7302254190,0,71.631,0,4,21.749168821573697,0.04597027600849257,0.0014862363228632062,0.00016894125000996356,ITAIM BIBI
25719396,7299424859,0,3.383,0,4,21.169929811599555,0.04722808731917567,0.08185604005787242,0.00016998457845345647,ITAIM BIBI
25719396,300063851,0,85.541,0,4,21.096786110084963,0.047391829659073,0.001034067121278847,0.00016608187271077712,ITAIM BIBI
25719396,307825542,0,78.695,0,5,20.604174362763207,0.0485248899606458,0.08080266904159106,0.00019298659006056838,ITAIM BIBI
25719397,7302254190,0,16.387,0,4,21.1941263391208,0.047174168809098437,0.02252731828327517,0.00016990696510318202,ITAIM BIBI
25719397,1373371457,0,26.462,0,4,21.39878093830809,0.04672300242548747,0.009976678277359673,0.00017032672688290879,ITAIM BIBI
25719397,1389167633,0,108.368,0,4,20.899519763575913,0.04783915156871409,0.03209632447295459,0.0001711106543032817,ITAIM BIBI
25720777,302805896,0,15.359,0,4,23.41521980051718,0.04269937682416976,0.02931640000026175,0.00017914390719060794,ITAIM BIBI
25720777,25720778,0,29.994,0,4,22.888622090875508,0.043681759859262904,0.029309692714710026,0.00016738454953871328,ITAIM BIBI
25720777,302805884,0,129.974,0,4,23.152013298854822,0.04318480992460808,0.00027467152295952924,0.0001791573404069486,ITAIM BIBI
25720778,25720779,0,43.451,0,6,21.941078684891025,0.04556819234104168,0.02892165170669335,0.0002119800617706661,ITAIM BIBI
25720778,25720825,0,71.033,0,4,22.8180642777983,0.04381683220411699,0.0006563324300855458,0.00015807848925719633,ITAIM BIBI
25720779,25720832,0,15.959,0,8,21.670114517916513,0.04613797923663081,0.04745339090910876,0.00026255442923714715,ITAIM BIBI
25720779,25720825,0,47.19800000000001,0,6,21.936276320650165,0.04557816828473515,0.021059895078422892,0.00021170912868301604,ITAIM BIBI
25720779,25720915,0,130.31099999999998,0,7,21.701699298115997,0.04607082975155967,0.0026106064105945012,0.0002362917242647463,ITAIM BIBI
25720781,25720782,0,21.349,0,4,22.66605097894348,0.04411069641605685,0.05566507153238245,0.00016095043892747757,ITAIM BIBI
