gid,id,length,dir,municipio,distrito,bairro,nomesigla,tipo,nometit,nomeprep,name,start_left,end_left,start_righ,end_right,parity,left_zip,right_zip,cep_e,cep_d,extensao_m,nome_caps,onibus_msp,dist_cen_m,dist_cen_d,cdlog_cem,grau,grau_in,grau_out,coef_aglom
265,214701,74.9900000000,0,SAO PAULO,SE,CENTRO,,PO,,DO,COLEGIO,127,199,126,200,0,1016,1016,01016040,01016040,74,PO DO COLEGIO,0,260.840000000,260.840000000,SEE00090,4,4,4,0.50
266,214702,41.6000000000,0,SAO PAULO,SE,CENTRO,,PO,,DO,COLEGIO,201,243,202,244,0,1016,1016,01016040,01016040,41,PO DO COLEGIO,0,231.090000000,231.090000000,SEE00071,4,4,4,0.33
267,214703,33.5900000000,0,SAO PAULO,SE,CENTRO,,R,,,FLORIANO PEIXOTO,51,79,50,78,0,1016,1016,01016050,01016050,33,R FLORIANO PEIXOTO,0,234.390000000,234.390000000,SEE00074,4,4,4,0.50
268,214704,100.570000000,0,SAO PAULO,SE,CENTRO,,R,,,VENCESLAU BRAS,81,181,82,182,0,1016,1016,01016000,01016000,100,R VENCESLAU BRAS,1,224.780000000,224.780000000,SEE00067,5,5,5,0.40
269,214705,132.590000000,0,SAO PAULO,SE,CENTRO,,AV,,,RANGEL PESTANA,1,139,0,0,0,1017,0,01017000,,132,AV RANGEL PESTANA,1,212.410000000,212.410000000,SEE00062,5,5,5,0.40
270,214706,67.6000000000,0,SAO PAULO,SE,CENTRO,,R,DR,,BETTENCOURT RODRIGUES,1,59,2,60,0,1017,1017,01017010,01017010,67,R DR BETTENCOURT RODRIGUES,1,320.020000000,320.020000000,SEE00112,5,5,5,0.40
271,214707,45.7100000000,0,SAO PAULO,SE,CENTRO,,R,DR,,BETTENCOURT RODRIGUES,187,227,188,226,0,1017,1017,01017010,01017010,45,R DR BETTENCOURT RODRIGUES,1,344.960000000,344.960000000,SEE00127,4,4,4,0.33
272,214708,123.650000000,0,SAO PAULO,SE,CENTRO,,R,DR,,BETTENCOURT RODRIGUES,61,185,62,186,0,1017,1017,01017010,01017010,123,R DR BETTENCOURT RODRIGUES,1,320.020000000,320.020000000,SEE00113,4,4,4,0.33
273,214709,74.1200000000,0,SAO PAULO,SE,CENTRO,,R,,,LUIS TEIXEIRA,1,77,2,76,0,1015,1015,01015050,01015050,74,R LUIS TEIXEIRA,0,344.960000000,344.960000000,SEE00128,5,5,5,0.40
274,214710,104.280000000,0,SAO PAULO,SE,CENTRO,,R,,DO,CARMO,83,193,84,192,0,1019,1019,01019020,01019020,104,R DO CARMO,0,334.310000000,334.310000000,SEE00120,3,3,3,0.33
275,214711,72.0700000000,0,SAO PAULO,SE,CENTRO,,R,,,JOAQUIM DOS SANTOS ANDRADE,1,75,2,76,0,1019,1019,01019030,01019030,72,R JOAQUIM DOS SANTOS ANDRADE,0,426.010000000,426.010000000,SEE00163,4,4,4,0.33
276,214712,79.8100000000,0,SAO PAULO,SE,CENTRO,,R,,,ALCIDES BEZERRA,1,125,2,126,0,1019,1019,01019040,01019040,79,R ALCIDES BEZERRA,0,398.650000000,398.650000000,SEE00150,2,2,2,1.00
277,214713,60.7200000000,0,SAO PAULO,SE,CENTRO,,R,,DAS,CARMELITAS,107,167,108,166,0,1020,1020,01020010,01020010,60,R DAS CARMELITAS,0,491.000000000,491.000000000,SEE00207,4,4,4,0.33
278,214714,37.5900000000,0,SAO PAULO,SE,CENTRO,,R,,,JOAQUIM DOS SANTOS ANDRADE,77,109,78,110,0,1019,1019,01019030,01019030,37,R JOAQUIM DOS SANTOS ANDRADE,0,467.190000000,467.190000000,SEE00188,4,4,4,0.33
279,214715,105.570000000,0,SAO PAULO,SE,CENTRO,,R,,DAS,CARMELITAS,1,105,2,106,0,1020,1020,01020010,01020010,105,R DAS CARMELITAS,0,484.690000000,484.690000000,SEE00199,4,4,4,0.33
280,214716,71.1400000000,0,SAO PAULO,SE,CENTRO,,R,,,FREDERICO ALVARENGA,111,187,110,186,0,1020,1020,01020030,01020030,71,R FREDERICO ALVARENGA,1,485.420000000,485.420000000,SEE00202,4,4,4,0.33
281,214717,59.3200000000,0,SAO PAULO,SE,CENTRO,,R,,,FREDERICO ALVARENGA,65,109,64,108,0,1020,1020,01020030,01020030,59,R FREDERICO ALVARENGA,1,448.140000000,448.140000000,SEE00179,4,4,4,0.33
282,214718,21.0500000000,0,SAO PAULO,SE,,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,21,R SEM NOME,1,317.950000000,317.950000000,SEE00110,5,5,5,0.40
283,214719,181.660000000,0,SAO PAULO,SE,CENTRO,,AV,,,RANGEL PESTANA,0,0,144,330,0,0,1017,,01017000,181,AV RANGEL PESTANA,1,317.950000000,317.950000000,SEE00111,6,6,6,0.27
284,214720,100.390000000,0,SAO PAULO,SE,CENTRO,,R,,,VINTE E CINCO DE MARCO,1,75,2,76,0,1021,1021,01021000,01021000,100,R VINTE E CINCO DE MARCO,1,395.940000000,395.940000000,SEE00145,5,5,5,0.10
285,214721,161.230000000,0,SAO PAULO,SE,CENTRO,,AV,,,RANGEL PESTANA,140,329,0,0,0,1017,0,01017000,,161,AV RANGEL PESTANA,1,328.510000000,328.510000000,SEE00115,7,7,7,0.29
286,214722,109.070000000,0,SAO PAULO,SE,CENTRO,,R,,,VINTE E CINCO DE MARCO,77,185,78,184,0,1021,1021,01021000,01021000,109,R VINTE E CINCO DE MARCO,1,395.970000000,395.970000000,SEE00146,5,5,5,0.40
287,214723,77.8600000000,0,SAO PAULO,SE,CENTRO,,R,,,FERNAO SALES,1,81,2,82,0,1015,1015,01015080,01015080,77,R FERNAO SALES,1,395.970000000,395.970000000,SEE00147,4,4,4,0.33
288,214724,94.0100000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,663,757,664,758,0,1022,1015,01022050,01015070,94,PQ DM PEDRO II,1,470.410000000,470.410000000,SEE00189,4,4,4,0.33
289,214725,57.9200000000,0,SAO PAULO,SE,CENTRO,,R,,,FREDERICO ALVARENGA,1,63,2,62,0,1020,1020,01020030,01020030,57,R FREDERICO ALVARENGA,1,414.050000000,414.050000000,SEE00155,3,3,3,0.33
290,214726,66.9700000000,0,SAO PAULO,SE,CENTRO,,R,,,ALEXANDRIA,1,61,2,60,0,1020,1020,01020050,01020050,66,R ALEXANDRIA,0,448.140000000,448.140000000,SEE00180,4,4,4,0.33
291,214727,28.5300000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,455,491,456,490,0,1022,1022,01022050,01022050,28,PQ DM PEDRO II,1,510.490000000,510.490000000,SEE00223,4,4,4,0.33
292,214728,40.8600000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,493,525,492,526,0,1022,1022,01022050,01022050,40,PQ DM PEDRO II,1,495.430000000,495.430000000,SEE00210,5,5,5,0.40
293,214729,37.2400000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,527,565,528,566,0,1022,1015,01022050,01015070,37,PQ DM PEDRO II,1,485.230000000,485.230000000,SEE00201,6,6,6,0.40
294,214730,20.0100000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,641,661,642,662,0,1022,1015,01022050,01015070,20,PQ DM PEDRO II,1,471.780000000,471.780000000,SEE00191,4,4,4,0.33
295,214731,70.6600000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,567,639,568,640,0,1022,1015,01022050,01015070,70,PQ DM PEDRO II,1,473.710000000,473.710000000,SEE00193,5,5,5,0.40
296,214732,55.6200000000,0,SAO PAULO,SE,,,AC,,,TERMINAL PARQUE DOM PEDRO II,0,0,0,0,0,0,0,,,55,,1,471.780000000,471.780000000,SEE00192,3,3,3,0.33
297,214733,107.630000000,0,SAO PAULO,SE,CENTRO,,R,DR,,BETTENCOURT RODRIGUES,295,401,296,402,0,1017,1017,01017010,01017010,107,R DR BETTENCOURT RODRIGUES,1,398.260000000,398.260000000,SEE00148,4,4,4,0.33
298,214734,79.2700000000,0,SAO PAULO,SE,CENTRO,,R,GAL,,CARNEIRO,243,321,242,322,0,1015,1015,01015000,01015000,79,R GAL CARNEIRO,1,471.370000000,471.370000000,SEE00190,5,5,5,0.40
299,214735,17.2300000000,0,SAO PAULO,SE,CENTRO,,R,DR,,BETTENCOURT RODRIGUES,229,253,228,252,0,1017,1017,01017010,01017010,17,R DR BETTENCOURT RODRIGUES,1,366.050000000,366.050000000,SEE00136,4,4,4,0.33
300,214736,42.0300000000,0,SAO PAULO,SE,CENTRO,,R,DR,,BETTENCOURT RODRIGUES,255,293,254,294,0,1017,1017,01017010,01017010,42,R DR BETTENCOURT RODRIGUES,1,374.470000000,374.470000000,SEE00141,4,4,4,0.33
301,214737,72.4200000000,0,SAO PAULO,SE,CENTRO,,R,,,SAO NICOLAU,1,75,2,74,0,1015,1015,01015030,01015030,72,R SAO NICOLAU,0,374.470000000,374.470000000,SEE00142,4,4,4,0.33
302,214738,71.9400000000,0,SAO PAULO,SE,CENTRO,,PC,,,FERNANDO COSTA,1,71,2,70,0,1015,1015,01015020,01015020,71,PC FERNANDO COSTA,0,398.260000000,398.260000000,SEE00149,4,4,4,0.33
303,214739,72.0900000000,0,SAO PAULO,SE,CENTRO,,R,,,MARIA BENEDITA,1,73,2,72,0,1015,1015,01015040,01015040,72,R MARIA BENEDITA,0,366.050000000,366.050000000,SEE00137,4,4,4,0.33
304,214740,41.0900000000,0,SAO PAULO,SE,CENTRO,,R,,,VINTE E CINCO DE MARCO,187,223,186,222,0,1021,1021,01021000,01021000,41,R VINTE E CINCO DE MARCO,1,414.450000000,414.450000000,SEE00156,5,5,5,0.40
305,214741,18.1500000000,0,SAO PAULO,SE,CENTRO,,R,,,VINTE E CINCO DE MARCO,225,251,224,250,0,1021,1021,01021000,01021000,18,R VINTE E CINCO DE MARCO,1,428.530000000,428.530000000,SEE00164,4,4,4,0.33
306,214742,43.6500000000,0,SAO PAULO,SE,CENTRO,,R,,,VINTE E CINCO DE MARCO,253,291,252,290,0,1021,1021,01021000,01021000,43,R VINTE E CINCO DE MARCO,1,436.270000000,436.270000000,SEE00167,4,4,4,0.33
307,214743,86.7900000000,0,SAO PAULO,SE,CENTRO,,R,,,VINTE E CINCO DE MARCO,293,379,292,378,0,1021,1021,01021000,01021000,86,R VINTE E CINCO DE MARCO,1,457.050000000,457.050000000,SEE00184,4,4,4,0.33
308,214744,58.4800000000,0,SAO PAULO,SE,CENTRO,,R,,,VINTE E CINCO DE MARCO,381,435,380,434,0,1021,1021,01021000,01021000,58,R VINTE E CINCO DE MARCO,0,507.400000000,507.400000000,SEE00220,5,5,5,0.40
309,214745,96.3400000000,0,SAO PAULO,SE,CENTRO,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,96,AC SEM NOME,1,507.400000000,507.400000000,SEE00221,5,5,5,0.40
310,214746,64.1900000000,0,SAO PAULO,SE,,,AC,,,TERMINAL PARQUE DOM PEDRO II,0,0,0,0,0,0,0,,,64,,1,566.330000000,566.330000000,SEE00252,4,4,4,0.50
311,214747,101.640000000,0,SAO PAULO,SE,CENTRO,,R,,,VINTE E CINCO DE MARCO,437,537,436,536,0,1021,1021,01021000,01021000,101,R VINTE E CINCO DE MARCO,1,546.600000000,546.600000000,SEE00241,5,5,5,0.40
312,214748,49.9500000000,0,SAO PAULO,SE,CENTRO,,LR,,,PORTO GERAL,101,143,100,144,0,1022,1022,01022000,01022000,49,LR PORTO GERAL,0,656.720000000,656.720000000,SEE00318,5,5,5,0.40
313,214749,70.5700000000,0,SAO PAULO,SE,CENTRO,,R,,,VINTE E CINCO DE MARCO,629,709,628,710,0,1021,1021,01021200,01021100,70,R VINTE E CINCO DE MARCO,1,697.720000000,697.720000000,SEE00353,5,5,5,0.40
314,214750,92.4700000000,0,SAO PAULO,SE,CENTRO,,R,,,VINTE E CINCO DE MARCO,539,627,538,626,0,1021,1021,01021000,01021000,92,R VINTE E CINCO DE MARCO,1,621.220000000,621.220000000,SEE00294,5,5,5,0.40
315,214751,44.8200000000,0,SAO PAULO,SE,CENTRO,,R,,,CAVALHEIRO BASILIO JAFET,1,47,2,48,0,1022,1022,01022020,01022020,44,R CAVALHEIRO BASILIO JAFET,0,697.720000000,697.720000000,SEE00354,5,5,5,0.40
316,214752,74.8100000000,0,SAO PAULO,SE,CENTRO,,R,CMR,,ABDO SCHAHIN,1,77,2,78,0,1023,1023,01023050,01023050,74,R CMR ABDO SCHAHIN,0,710.720000000,710.720000000,SEE00367,4,4,4,0.33
317,214753,45.1500000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,923,967,922,966,0,1022,1015,01022050,01015070,45,PQ DM PEDRO II,1,546.600000000,546.600000000,SEE00242,6,6,6,0.40
318,214754,15.3500000000,0,SAO PAULO,SE,,,AC,,,TERMINAL PARQUE DOM PEDRO II,0,0,0,0,0,0,0,,,15,,1,590.970000000,590.970000000,SEE00272,6,6,6,0.47
319,214755,73.6200000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,1443,1517,1444,1516,0,1022,1015,01022050,01015070,73,PQ DM PEDRO II,0,621.220000000,621.220000000,SEE00295,5,5,5,0.40
320,214756,75.0400000000,0,SAO PAULO,SE,CENTRO,,R,,,JORGE AZEM,1,71,2,72,0,1022,1022,01022030,01022030,75,R JORGE AZEM,0,590.970000000,590.970000000,SEE00273,6,6,6,0.40
321,214757,50.7800000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,969,1019,968,1020,0,1022,1015,01022050,01015070,50,PQ DM PEDRO II,0,590.970000000,590.970000000,SEE00274,5,5,5,0.50
322,214758,32.9300000000,0,SAO PAULO,SE,,,AC,,,TERMINAL PARQUE DOM PEDRO II,0,0,0,0,0,0,0,,,32,,1,590.060000000,590.060000000,SEE00270,6,6,6,0.40
323,214759,49.2300000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,997,1047,998,1048,0,1022,1015,01022050,01015070,49,PQ DM PEDRO II,1,590.060000000,590.060000000,SEE00271,5,5,5,0.40
324,214760,40.0800000000,0,SAO PAULO,SE,CENTRO,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,40,AC SEM NOME,1,599.980000000,599.980000000,SEE00281,5,5,5,0.50
325,214761,47.8500000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,1041,1091,1042,1090,0,1022,1015,01022050,01015070,47,PQ DM PEDRO II,0,660.880000000,660.880000000,SEE00322,7,7,7,0.43
326,214762,21.3700000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,1021,1039,1022,1040,0,1022,1015,01022050,01015070,21,PQ DM PEDRO II,1,640.110000000,640.110000000,SEE00307,6,6,6,0.47
327,214763,27.2200000000,0,SAO PAULO,SE,,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,27,R SEM NOME,1,637.340000000,637.340000000,SEE00304,6,6,6,0.53
328,214764,39.6700000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,1049,1089,1050,1090,0,1022,1015,01022050,01015070,39,PQ DM PEDRO II,1,637.340000000,637.340000000,SEE00305,4,4,4,0.50
329,214765,25.9500000000,0,SAO PAULO,SE,CENTRO,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,25,AC SEM NOME,1,660.880000000,660.880000000,SEE00323,6,6,6,0.53
330,214766,77.1300000000,0,SAO PAULO,SE,CENTRO,,R,,,JORGE AZEM,73,145,74,144,0,1022,1022,01022030,01022030,77,R JORGE AZEM,0,661.640000000,661.640000000,SEE00326,5,5,5,0.40
331,214767,63.2600000000,0,SAO PAULO,SE,CENTRO,,R,,,CAVALHEIRO BASILIO JAFET,49,113,50,114,0,1022,1022,01022020,01022020,63,R CAVALHEIRO BASILIO JAFET,0,710.720000000,710.720000000,SEE00368,4,4,4,0.33
332,214768,49.1200000000,0,SAO PAULO,SE,CENTRO,,R,,,CAVALHEIRO BASILIO JAFET,115,159,116,160,0,1022,1022,01022020,01022020,49,R CAVALHEIRO BASILIO JAFET,0,735.810000000,735.810000000,SEE00373,5,5,5,0.40
333,214769,61.3400000000,0,SAO PAULO,SE,CENTRO,,R,,,HERCULES FLORENCE,1,69,2,68,0,1015,1015,01015060,01015060,61,R HERCULES FLORENCE,1,414.450000000,414.450000000,SEE00157,5,5,5,0.40
334,214770,233.520000000,0,SAO PAULO,SE,Parque Dom Pedro II,,BT,,,PARQUE DOM PEDRO II,0,0,0,0,0,0,0,,,233,BT PARQUE DOM PEDRO II,1,515.240000000,515.240000000,SEE00227,2,2,2,0.00
335,214771,231.760000000,0,SAO PAULO,SE,Parque Dom Pedro II,,BT,,,PARQUE DOM PEDRO II,0,0,0,0,0,0,0,,,231,BT PARQUE DOM PEDRO II,1,546.470000000,546.470000000,SEE00239,2,2,2,0.00
336,214772,239.420000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,759,995,760,996,0,1022,1015,01022050,01015070,239,PQ DM PEDRO II,1,474.100000000,474.100000000,SEE00194,5,5,5,0.40
337,214773,46.8900000000,0,SAO PAULO,SE,,,AC,,,TERMINAL PARQUE DOM PEDRO II,0,0,0,0,0,0,0,,,46,,1,592.300000000,592.300000000,SEE00275,4,4,4,0.50
338,214774,227.050000000,0,SAO PAULO,SE,CENTRO,,AV,,DO,ESTADO,0,0,3528,3688,0,0,1025,,01025020,227,AV DO ESTADO,1,578.240000000,578.240000000,SEE00262,5,5,5,0.40
339,214775,35.7200000000,0,SAO PAULO,SE,,,AC,,,TERMINAL PARQUE DOM PEDRO II,0,0,0,0,0,0,0,,,35,,1,546.540000000,546.540000000,SEE00240,3,3,3,0.33
340,214776,113.420000000,0,SAO PAULO,SE,Mercado,,BT,,,MERCADO,0,0,0,0,0,0,0,,,113,BT MERCADO,1,599.750000000,599.750000000,SEE00280,2,2,2,1.00
341,214777,42.3000000000,0,SAO PAULO,SE,CENTRO,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,42,AC SEM NOME,1,675.170000000,675.170000000,SEE00336,4,4,4,0.33
342,214778,141.740000000,0,SAO PAULO,SE,CENTRO,,,,,SEM NOME,0,0,0,0,0,0,0,,,141,SEM NOME,1,613.830000000,613.830000000,SEE00288,5,5,5,0.50
343,214779,90.4900000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,1093,1181,1092,1180,0,1022,1015,01022050,01015070,90,PQ DM PEDRO II,1,660.880000000,660.880000000,SEE00324,6,6,6,0.47
344,214780,60.6900000000,0,SAO PAULO,SE,CENTRO,,R,,,CAVALHEIRO BASILIO JAFET,161,223,162,222,0,1022,1022,01022020,01022020,60,R CAVALHEIRO BASILIO JAFET,1,747.800000000,747.800000000,SEE00378,5,5,5,0.40
345,214781,122.480000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,1183,1297,1182,1298,0,1022,1015,01022050,01015070,122,PQ DM PEDRO II,0,747.800000000,747.800000000,SEE00379,4,4,4,0.33
346,214782,364.600000000,0,SAO PAULO,SE,CENTRO,,AV,,DO,ESTADO,0,0,3164,3526,0,0,1025,,01025020,364,AV DO ESTADO,0,613.830000000,613.830000000,SEE00289,6,6,6,0.33
347,214783,112.270000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,MQ,DE,ITU,1,109,2,108,0,1223,1223,01223001,01223000,112,R MQ DE ITU,1,1298.18000000,265.580000000,REP00059,5,5,5,0.40
348,214784,131.840000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,AURORA,925,1049,926,1050,0,1209,1209,01209001,01209000,131,R AURORA,0,1374.72000000,289.780000000,REP00066,5,5,5,0.40
349,214883,408.580000000,0,SAO PAULO,SE,,,AC,,,TERMINAL MERCADO,0,0,0,0,0,0,0,,,408,,1,606.600000000,606.600000000,SEE00284,4,4,4,0.50
350,214884,351.660000000,0,SAO PAULO,SE,CENTRO,,VD,,,MERCURIO,0,0,0,0,0,0,0,,,351,VD MERCURIO,1,643.070000000,643.070000000,SEE00310,7,7,7,0.29
351,214885,860.930000000,0,SAO PAULO,SE,CENTRO,,AV,,DO,ESTADO,3091,3915,0,0,0,3007,0,03007010,,860,AV DO ESTADO,0,667.630000000,667.630000000,SEE00331,8,8,8,0.18
352,214886,591.260000000,0,SAO PAULO,SE,CENTRO,,VD,,,DIARIO POPULAR,1,681,2,682,0,1015,1015,01015090,01015090,591,VD DIARIO POPULAR,1,707.430000000,707.430000000,SEE00364,7,7,7,0.14
353,214887,188.780000000,0,SAO PAULO,SE,CENTRO,,AV,,,MERCURIO,67,229,0,0,0,3007,0,03007000,,188,AV MERCURIO,1,965.130000000,965.130000000,SEE00448,5,5,5,0.20
354,214888,121.810000000,0,SAO PAULO,BRAS,,,R,,DA,FIGUEIRA,207,413,208,414,0,3003,3003,03003000,03003000,121,R DA FIGUEIRA,0,837.380000000,1129.90000000,BRS00432,3,3,3,0.33
355,214889,55.6700000000,0,SAO PAULO,BRAS,BRAS,,R,,DA,FIGUEIRA,207,275,206,274,0,3003,3003,03003000,03003000,55,R DA FIGUEIRA,1,832.940000000,1129.90000000,BRS00431,3,3,3,0.33
356,214891,28.0500000000,0,SAO PAULO,SE,BRAS,,R,,DA,FIGUEIRA,169,205,170,206,0,3003,3003,03003000,03003000,28,R DA FIGUEIRA,1,859.760000000,859.760000000,SEE00420,4,4,4,0.33
357,214892,83.9700000000,0,SAO PAULO,SE,CENTRO,,VD,,,MERCURIO,0,0,0,0,0,0,0,,,83,VD MERCURIO,1,869.230000000,869.230000000,SEE00423,4,4,4,0.50
358,214893,68.1100000000,0,SAO PAULO,SE,BRAS,,R,,DA,FIGUEIRA,115,167,116,168,0,3003,3003,03003000,03003000,68,R DA FIGUEIRA,1,874.270000000,874.270000000,SEE00425,5,5,5,0.40
359,214894,47.3500000000,0,SAO PAULO,SE,,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,47,R SEM NOME,1,869.230000000,869.230000000,SEE00424,5,5,5,0.50
360,214895,74.3500000000,0,SAO PAULO,BRAS,BRAS,,R,,,MARIA DOMITILA,1,51,2,50,0,3003,3003,03003010,03003010,74,R MARIA DOMITILA,0,874.270000000,1042.82000000,BRS00391,2,2,2,1.00
361,214900,28.9000000000,0,SAO PAULO,SE,CENTRO,,VD,,,MERCURIO,0,0,0,0,0,0,0,,,28,VD MERCURIO,1,922.930000000,922.930000000,SEE00440,4,4,4,0.33
362,214901,47.7300000000,0,SAO PAULO,SE,,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,47,R SEM NOME,1,912.600000000,912.600000000,SEE00435,5,5,5,0.50
363,214902,118.180000000,0,SAO PAULO,SE,BRAS,,R,,DA,FIGUEIRA,1,113,2,114,0,3003,3003,03003000,03003000,118,R DA FIGUEIRA,1,912.600000000,912.600000000,SEE00436,7,7,7,0.43
364,214903,64.8500000000,0,SAO PAULO,SE,CENTRO,,AV,,,MERCURIO,1,65,0,0,0,3007,0,03007000,,64,AV MERCURIO,1,940.400000000,940.400000000,SEE00443,4,4,4,0.50
365,214904,75.1700000000,0,SAO PAULO,SE,CENTRO,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,75,AC SEM NOME,1,940.400000000,940.400000000,SEE00444,5,5,5,0.40
366,214905,46.9600000000,0,SAO PAULO,SE,,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,46,AC SEM NOME,1,965.130000000,965.130000000,SEE00449,7,7,7,0.43
367,214906,40.6800000000,0,SAO PAULO,SE,CENTRO,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,40,AC SEM NOME,1,981.480000000,981.480000000,SEE00453,6,6,6,0.53
368,214907,123.840000000,0,SAO PAULO,SE,CENTRO,,AV,,,MERCURIO,0,0,2,122,0,0,3007,,03007000,123,AV MERCURIO,1,985.930000000,985.930000000,SEE00455,6,6,6,0.47
369,214908,138.530000000,0,SAO PAULO,BRAS,BRAS,,R,,DO,GASOMETRO,1,137,2,138,0,3004,3004,03004001,03004000,138,R DO GASOMETRO,1,985.930000000,909.390000000,BRS00353,4,4,4,1.00
370,214912,160.510000000,0,SAO PAULO,BRAS,BRAS,,R,VIS,DE,PARNAIBA,1,161,2,162,0,3045,3044,03045000,03044000,160,R VIS DE PARNAIBA,0,925.870000000,1216.70000000,BRS00496,2,2,2,1.00
371,215164,57.8500000000,0,SAO PAULO,SE,CENTRO,,R,,,SAO VITO,241,291,240,290,0,3007,3007,03007030,03007030,57,R SAO VITO,0,1027.14000000,1027.14000000,SEE00462,2,2,2,0.00
372,215165,47.9600000000,0,SAO PAULO,SE,CENTRO,,R,,,SAO VITO,185,239,186,238,0,3007,3007,03007030,03007030,47,R SAO VITO,0,1003.05000000,1003.05000000,SEE00458,3,3,3,0.33
373,215166,168.300000000,0,SAO PAULO,SE,CENTRO,,AV,,DO,ESTADO,0,0,2950,3120,0,0,1025,,01025020,168,AV DO ESTADO,0,983.220000000,983.220000000,SEE00454,5,5,5,0.40
374,215167,137.740000000,0,SAO PAULO,SE,CENTRO,,AV,,DO,ESTADO,2935,3089,0,0,0,3007,0,03007010,,137,AV DO ESTADO,0,1003.05000000,1003.05000000,SEE00459,5,5,5,0.40
375,215168,55.6000000000,0,SAO PAULO,SE,CENTRO,,R,,,SAO VITO,293,351,292,352,0,3007,3007,03007030,03007030,55,R SAO VITO,0,1056.40000000,1056.40000000,SEE00467,3,3,3,0.33
376,215169,143.840000000,0,SAO PAULO,SE,CENTRO,,AV,,,MERCURIO,475,629,0,0,0,1026,0,01026010,,143,AV MERCURIO,1,1150.79000000,1150.79000000,SEE00486,6,6,6,0.40
377,215170,45.1900000000,0,SAO PAULO,SE,CENTRO,,AV,SEN,,QUEIROS,1,27,0,0,0,1026,1026,01026001,01026001,45,AV SEN QUEIROS,1,1195.16000000,1195.16000000,SEE00493,5,5,5,0.40
378,215171,21.4900000000,0,SAO PAULO,SE,CENTRO,,R,,DA,CANTAREIRA,463,483,462,482,0,1024,1024,01024100,01024000,21,R DA CANTAREIRA,1,1195.16000000,1195.16000000,SEE00494,6,6,6,0.40
379,215172,27.5600000000,0,SAO PAULO,SE,CENTRO,,AV,SEN,,QUEIROS,0,0,2,28,0,1026,1026,01026001,01026000,27,AV SEN QUEIROS,1,1216.68000000,1216.68000000,SEE00498,5,5,5,0.50
380,215173,23.7600000000,0,SAO PAULO,SE,CENTRO,,R,,DA,CANTAREIRA,485,503,484,504,0,1024,1024,01024100,01024000,23,R DA CANTAREIRA,1,1216.68000000,1216.68000000,SEE00499,6,6,6,0.47
381,215174,29.7500000000,0,SAO PAULO,SE,CENTRO,,R,,,CARLOS DE SOUSA NAZARE,497,525,498,524,0,1025,1025,01025001,01025000,29,R CARLOS DE SOUSA NAZARE,0,1226.18000000,1226.18000000,SEE00506,5,5,5,0.50
382,215175,142.460000000,0,SAO PAULO,SE,CENTRO,,AV,,,MERCURIO,0,0,470,630,0,0,1026,,01026010,142,AV MERCURIO,1,1170.50000000,1170.50000000,SEE00490,6,6,6,0.40
383,215176,67.8100000000,0,SAO PAULO,SE,CENTRO,,R,,DA,CANTAREIRA,505,559,506,560,0,1024,1024,01024100,01024000,67,R DA CANTAREIRA,1,1240.51000000,1240.51000000,SEE00517,5,5,5,0.40
384,215177,13.9900000000,0,SAO PAULO,SE,CENTRO,,R,,,FLORENCIO DE ABREU,519,531,520,530,0,1029,1030,01029001,01030001,13,R FLORENCIO DE ABREU,0,1230.81000000,1230.81000000,SEE00509,6,6,6,0.40
385,215178,82.7300000000,0,SAO PAULO,SE,CENTRO,,AV,SEN,,QUEIROS,283,365,0,0,0,1026,1026,01026001,01026001,82,AV SEN QUEIROS,1,1220.85000000,1220.85000000,SEE00502,6,6,6,0.40
