gid,id,length,dir,municipio,distrito,bairro,nomesigla,tipo,nometit,nomeprep,name,start_left,end_left,start_righ,end_right,parity,left_zip,right_zip,cep_e,cep_d,extensao_m,nome_caps,onibus_msp,dist_cen_m,dist_cen_d,cdlog_cem,grau,grau_in,grau_out,coef_aglom
11,211816,106.030000000,0,SAO PAULO,REPUBLICA,CENTRO,,PC,,,PEDRO LESSA,1,149,2,150,0,1032,1032,01032030,01032030,106,PC PEDRO LESSA,0,759.640000000,567.100000000,REP00274,6,6,6,0.67
12,211817,77.8700000000,0,SAO PAULO,REPUBLICA,CENTRO,,AC,,,SEM NOME,0,0,0,0,0,0,0,01032030,,77,AC SEM NOME,1,795.670000000,567.100000000,REP00275,7,7,7,0.52
13,211818,40.2500000000,0,SAO PAULO,REPUBLICA,CENTRO,,AC,,,TERMINAL SANTA EFIGENIA,0,0,0,0,0,0,0,,,40,AC TERMINAL SANTA EFIGENIA,1,865.810000000,567.100000000,REP00276,6,6,6,0.67
14,211819,45.3400000000,0,SAO PAULO,REPUBLICA,CENTRO,,LG,,,SANTA EFIGENIA,1,39,0,0,0,0,0,,,45,,1,968.760000000,561.240000000,REP00267,5,5,5,0.50
15,211820,103.180000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,DO,SEMINARIO,1,103,2,104,0,1034,1034,01034040,01034040,103,R DO SEMINARIO,1,865.810000000,566.910000000,REP00273,7,7,7,0.52
16,211821,113.360000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,BRG,,TOBIAS,1,147,2,148,0,1032,1032,01032000,01032000,113,R BRG TOBIAS,1,865.810000000,567.100000000,REP00277,8,8,8,0.39
17,211822,44.3200000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,DO,SEMINARIO,105,153,106,154,0,1034,1034,01034040,01034040,44,R DO SEMINARIO,0,968.760000000,574.030000000,REP00282,5,5,5,0.50
18,211823,68.7800000000,0,SAO PAULO,REPUBLICA,CENTRO,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,68,AC SEM NOME,1,757.680000000,612.500000000,REP00309,6,6,6,0.20
19,211824,52.6800000000,0,SAO PAULO,REPUBLICA,CENTRO,,AV,,,PRESTES MAIA,1,115,0,0,0,0,0,,,52,AV PRESTES MAIA,1,795.670000000,612.500000000,REP00310,3,3,3,0.33
20,211825,69.1800000000,0,SAO PAULO,REPUBLICA,Santa Efig̻nia,,BT,,,SANTA EFIGENIA,0,0,0,0,0,0,0,,,69,BT SANTA EFIGENIA,1,867.570000000,606.820000000,REP00304,4,4,4,0.17
21,211826,59.7600000000,0,SAO PAULO,REPUBLICA,CENTRO,,PC,,,PEDRO LESSA,0,0,40,100,0,0,1032,,01032030,59,PC PEDRO LESSA,1,908.140000000,629.440000000,REP00327,4,4,4,0.33
22,211827,57.8200000000,0,SAO PAULO,REPUBLICA,CENTRO,,AV,,,PRESTES MAIA,117,237,0,0,0,1031,0,01031001,,57,AV PRESTES MAIA,1,838.220000000,636.100000000,REP00332,4,4,4,0.17
23,211828,324.630000000,0,SAO PAULO,SE,CENTRO,,VD,,,SANTA EFIGENIA,1,335,2,334,0,1033,1033,01033050,01033050,324,VD SANTA EFIGENIA,0,737.530000000,737.530000000,SEE00374,11,11,11,0.09
24,211829,31.1100000000,0,SAO PAULO,REPUBLICA,CENTRO,,PC,,,PEDRO LESSA,0,0,2,38,0,0,1032,,01032030,31,PC PEDRO LESSA,0,881.860000000,656.670000000,REP00336,4,4,4,0.33
25,211830,53.3500000000,0,SAO PAULO,REPUBLICA,CENTRO,,AV,,,PRESTES MAIA,239,297,0,0,0,1031,0,01031001,,53,AV PRESTES MAIA,1,881.860000000,672.610000000,REP00353,4,4,4,0.33
26,211831,11.7900000000,0,SAO PAULO,REPUBLICA,CENTRO,,LG,,,SANTA EFIGENIA,41,55,0,0,0,1207,1207,01207010,01207010,11,LG SANTA EFIGENIA,1,1011.13000000,558.380000000,REP00264,5,5,5,0.40
27,211832,21.2300000000,0,SAO PAULO,REPUBLICA,CENTRO,,LG,,,SANTA EFIGENIA,0,0,2,38,0,1207,1207,01207010,01207010,21,LG SANTA EFIGENIA,0,1011.13000000,561.240000000,REP00268,6,6,6,0.47
28,211833,15.3700000000,0,SAO PAULO,REPUBLICA,CENTRO,,LG,,,SANTA EFIGENIA,0,0,40,60,0,1207,1207,01207010,01207010,15,LG SANTA EFIGENIA,0,1013.05000000,582.440000000,REP00289,4,4,4,0.50
29,211834,19.5100000000,0,SAO PAULO,REPUBLICA,CENTRO,,LG,,,SANTA EFIGENIA,57,75,0,0,0,1207,1207,01207010,01207010,19,LG SANTA EFIGENIA,1,1022.16000000,558.380000000,REP00265,3,3,3,0.33
30,211835,51.4900000000,0,SAO PAULO,REPUBLICA,CENTRO,,AV,,,CASPER LIBERO,0,0,2,52,0,0,1033,,01033000,51,AV CASPER LIBERO,0,1028.47000000,585.240000000,REP00290,3,3,3,0.33
31,211836,90.2300000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,CEL,,BATISTA DA LUZ,1,97,2,96,0,1033,1033,01033030,01033030,90,R CEL BATISTA DA LUZ,1,1030.75000000,614.820000000,REP00312,4,4,4,0.33
32,211837,171.400000000,0,SAO PAULO,REPUBLICA,CENTRO,,AV,,,CASPER LIBERO,1,179,0,0,0,1033,0,01033001,,171,AV CASPER LIBERO,1,1034.64000000,575.100000000,REP00284,4,4,4,0.50
33,211838,17.2700000000,0,SAO PAULO,REPUBLICA,,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,17,R SEM NOME,1,1204.90000000,665.650000000,REP00346,6,6,6,0.40
34,211839,29.6600000000,0,SAO PAULO,REPUBLICA,CENTRO,,PC,,,ALFREDO ISSA,0,0,0,0,0,1033,1033,01033040,01033040,29,PC ALFREDO ISSA,1,1191.71000000,670.650000000,REP00351,6,6,6,0.47
35,211840,120.430000000,0,SAO PAULO,REPUBLICA,CENTRO,,AV,,,CASPER LIBERO,0,0,54,174,0,0,1033,,01033000,120,AV CASPER LIBERO,1,1076.01000000,614.820000000,REP00313,5,5,5,0.40
36,211841,42.9700000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,MAUA,0,0,184,226,0,0,1028,,01028000,42,R MAUA,1,1740.69000000,1013.05000000,REP00535,4,4,4,0.33
37,211842,293.500000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,MAUA,1,309,0,0,0,1028,0,01028000,,293,R MAUA,0,1735.07000000,993.770000000,REP00529,1,1,1,NaN
