SEQ;LONG;LAT;LOCAL_ED;LOCALIZACA;REFERENCIA;DATA;MES;H_INICIO;H_FIM;DURACAO;DUR_H
33.000000;-46.630500;-23.539740;AV SEN QUEIROS;AV SEN QUEIROS;ALTURA DO NUMERO 587-UNICO-SE;04/01/2019;1.000000;17:52:00;19:30:00;01:38:00;1.63
34.000000;-46.585120;-23.579940;R JOSE ZAPPI;R JOS├âÔÇ░ ZAPPI;ALTURA DO NUMERO 165-AMBOS-VP;04/01/2019;1.000000;18:20:00;19:00:00;00:40:00;0.67
35.000000;-46.589148;-23.536647;AV CELSO GARCIA;AV CELSO GARCIA;PC MAJ GUILHERME RUDGE-AMBOS-MO;04/01/2019;1.000000;18:41:00;18:41:00;00:00:00;0.00
36.000000;-46.571500;-23.472690;AV EDU CHAVES;AV EDU CHAVES;AV SANATORIO-AMBOS-JT;06/01/2019;1.000000;19:54:00;20:34:00;00:40:00;0.67
37.000000;-46.576920;-23.584330;AV PROF LUIZ IGNACIO ANHAIA MELLO;AV LUIZ INACIO DE ANHAIA MELO;P├ç RUY ROXA-AMBOS-VP;08/01/2019;1.000000;16:15:00;18:15:00;02:00:00;2.00
38.000000;-46.584410;-23.584100;AV PROF LUIZ IGNACIO ANHAIA MELLO;AV LUIZ INACIO DE ANHAIA MELO;R IBITIRAMA-AMBOS-VP;08/01/2019;1.000000;16:17:00;18:15:00;01:58:00;1.97
39.000000;-46.503940;-23.572550;AV ARICANDUVA;AV ARICANDUVA;AV LATINOS-AMBOS-MO;08/01/2019;1.000000;16:20:00;17:51:00;01:31:00;1.52
40.000000;-46.568860;-23.582970;AV PROF LUIZ IGNACIO ANHAIA MELLO;AV LUIZ INACIO DE ANHAIA MELO;AV FRANCISCO FALCONE-AMBOS-VP;08/01/2019;1.000000;16:21:00;18:15:00;01:54:00;1.90
41.000000;-46.638240;-23.550330;PC DA BANDEIRA;P├ç DA BANDEIRA;AV 23 DE MAIO-CENTROBAIRRO-SE;08/01/2019;1.000000;16:22:00;17:47:00;01:25:00;1.42
42.000000;-46.625620;-23.579270;AV LACERDA FRANCO;AV LACERDA FRANCO;ALTURA 1855-AMBOS-IP;08/01/2019;1.000000;16:48:00;18:20:00;01:32:00;1.53
43.000000;-46.597580;-23.595580;R DAS JUNTAS PROVISORIAS;RUA DAS JUNTAS PROVIS├âÔÇ£RIA;R 02 DE JULHO-AMBOS-IP;08/01/2019;1.000000;17:04:00;17:30:00;00:26:00;0.43
44.000000;-46.642458;-23.536496;AV RIO BRANCO;AV RIO BRANCO;AV DUQUE DE CAXIAS-BAIRROCENTRO-SE;08/01/2019;1.000000;17:09:00;17:57:00;00:48:00;0.80
45.000000;-46.609130;-23.577190;AV TERESA CRISTINA;AV TEREZA CRISTINA;R TABOR-AMBOS-IP;08/01/2019;1.000000;17:09:00;17:49:00;00:40:00;0.67
46.000000;-46.606330;-23.543350;R BRESSER;RUA BRESSER;VD BRESSER-AMBOS-MO;08/01/2019;1.000000;17:13:00;17:29:00;00:16:00;0.27
47.000000;-46.697770;-23.609400;PTE OCTAVIO FRIAS DE OLIVEIRA;PTE. OCTAVIO FRIAS DE OLIVEIRA;ALTURA DO N├ÜMERO 0: INICIO - CENTRO/BAIRRO;10/01/2019;1.000000;22:37:00;00:56:00;23/01/1900 02:19:00;2.32
48.000000;-46.627700;-23.617420;AV PROF ABRAAO DE MORAIS;AV. PROF ABRAAO DE MORAIS;PC LEONOR KAUPA - AMBOS;10/01/2019;1.000000;22:40:00;23:25:00;00:45:00;0.75
49.000000;-46.682672;-23.619121;AV JORN ROBERTO MARINHO;AV. JORN. ROBERTO MARINHO;AV SANTO AMARO - AMBOS;10/01/2019;1.000000;22:45:00;23:20:00;00:35:00;0.58
50.000000;-46.627722;-23.619176;AV PROF ABRAAO DE MORAIS;AV. PROF ABRAAO DE MORAIS;R RIBEIRO LACERDA - AMBOS;10/01/2019;1.000000;22:47:00;23:25:00;00:38:00;0.63
51.000000;-46.678112;-23.665335;AV INTERLAGOS;AV. INTERLAGOS;AV YERVANT KISSAJIKIAN-AMBOS-SA;10/01/2019;1.000000;22:58:00;23:36:00;00:38:00;0.63
52.000000;-46.691250;-23.590400;AV DAS NACOES UNIDAS;AV. DAS. NACOES UNIDAS;AV PRES. JUSCELINO KUBITSCHEK - INT/CASTELO - LOCAL;10/01/2019;1.000000;23:18:00;00:45:00;23/01/1900 01:27:00;1.45
53.000000;-46.690269;-23.587799;AV DAS NACOES UNIDAS;AV. DAS. NACOES UNIDAS;R OLIVIA FEDER - INT/CASTELO - LOCAL;10/01/2019;1.000000;23:20:00;00:41:00;23/01/1900 01:21:00;1.35
54.000000;-46.658019;-23.561813;AL SANTOS;AL SANTOS;R PEIXOTO GOMIDE-UNICO-PI;11/01/2019;1.000000;01:19:00;01:44:00;00:25:00;0.42
55.000000;-46.688956;-23.585586;AV CIDADE JARDIM;AV CIDADE JARDIM;R FRANZ SCHUBERT-CENTRO/BAIRRO-PI;11/01/2019;1.000000;08:12:00;09:57:00;01:45:00;1.75
56.000000;-46.630120;-23.519022;MARGINAL TIETE;MARGINAL TIETE;PTE DAS BANDEIRAS SEN ROMEU TUMA - A SENNA/CASTELO B - AUXILIAR;11/01/2019;1.000000;16:22:00;17:56:00;01:34:00;1.57
57.000000;-46.784354;-23.706408;ES M BOI MIRIM;ES. M BOI MIRIM (ZONA SUL);R CLAMECY;11/01/2019;1.000000;17:25:00;17:46:00;00:21:00;0.35
58.000000;-46.630120;-23.519022;MARGINAL TIETE;MARGINAL TIETE;PTE DAS BANDEIRAS SEN ROMEU TUMA - A SENNA/CASTELO B - CENTRAL;11/01/2019;1.000000;17:40:00;17:45:00;00:05:00;0.08
59.000000;-46.717020;-23.766500;AV SEN TEOTONIO VILELA;AV SEN TEOTONIO VILELA PARELHEIROS;R RUBEN DARIO-BAIRROCENTRO-PA;13/01/2019;1.000000;15:53:00;;;0.00
60.000000;-46.678569;-23.663870;AV INTERLAGOS;AV INTERLAGOS;R ENG DAGOBERTO SALLES FILHO-AMBOS-AD;14/01/2019;1.000000;16:41:00;17:10:00;00:29:00;0.48
61.000000;-46.693854;-23.681564;AV DAS NACOES UNIDAS;AV DAS NACOES UNIDAS;R JAIME DE OLIVEIRA SOUZA-AMBOS-SA;14/01/2019;1.000000;16:46:00;17:47:00;01:01:00;1.02
62.000000;-46.598964;-23.538101;AV CELSO GARCIA;AV CELSO GARCIA;R SALDANHA MARINHO-CENTROBAIRRO - LOCAL-MO;14/01/2019;1.000000;17:39:00;18:35:00;00:56:00;0.93
63.000000;-46.448670;-23.510984;AV VINTE E TRES DE MAIO;AV. VINTE E TRES DE MAIO VILA MARIANA;VD GAL EUCLIDES DE FIGUEIREDO - AMBOS;14/01/2019;1.000000;17:40:00;17:45:00;00:05:00;0.08
64.000000;-46.653024;-23.586792;AV VINTE E TRES DE MAIO;AV VINTE E TRES DE MAIO;VD GAL EUCLIDES DE FIGUEIREDO-AMBOS-MG;14/01/2019;1.000000;17:40:00;17:45:00;00:05:00;0.08
65.000000;-46.542444;-23.539885;AV ARICANDUVA;AV ARICANDUVA;R JULIO COLACO-MARGINALITAQUERA - ESQUERDA-AF;14/01/2019;1.000000;18:00:00;18:15:00;00:15:00;0.25
66.000000;-46.456161;-23.538461;AV ITAQUERA;AV. ITAQUERA;R TOMAZZO FERRARA - BAIRRO/CENTRO;14/01/2019;1.000000;18:19:00;18:36:00;00:17:00;0.28
67.000000;-46.556499;-23.525579;AV AIRTON PRETINI;AV AIRTON PRETINI PENHA;VD ENG ALBERTO BADRA-BAIRROCENTRO-PE;16/01/2019;1.000000;05:11:00;05:28:00;00:17:00;0.28
68.000000;-46.724160;-23.641544;AV DAS NACOES UNIDAS;AV DAS NACOES UNIDAS;R ACARI-INTERLAGOSCASTELO - LOCAL-SA;17/01/2019;1.000000;17:34:00;19:25:00;01:51:00;1.85
69.000000;-46.653024;-23.586792;AV VINTE E TRES DE MAIO;AV VINTE E TRES DE MAIO;VD GAL EUCLIDES DE FIGUEIREDO-AEROPORTOSANTANA-MG;17/01/2019;1.000000;17:49:00;18:00:00;00:11:00;0.18
70.000000;-46.684707;-23.581581;TUN MAX FEFFER;TN MAX FEFFER;AV CIDADE JARDIM-AMBOS-PI;17/01/2019;1.000000;18:07:00;18:15:00;00:08:00;0.13
71.000000;-46.686210;-23.557720;R HARMONIA;R HARMONIA;R LUIS MURAT-AMBOS-PI;17/01/2019;1.000000;18:10:00;18:40:00;00:30:00;0.50
72.000000;-46.677964;-23.564218;R HENRIQUE SCHAUMANN;R HENRIQUE SCHAUMANN;AV REBOUCAS-IBIRAPUERASUMARE-PI;17/01/2019;1.000000;18:20:00;18:43:00;00:23:00;0.38
73.000000;-46.704846;-23.572483;AV VITAL BRASIL;AV VITAL BRASIL;PC JORGE DE LIMA-BAIRROCENTRO-BT;17/01/2019;1.000000;18:23:00;19:48:00;01:25:00;1.42
74.000000;-46.682273;-23.526397;AV POMPEIA;AV POMPEIA;R PALESTRA ITALIA-AMBOS-LA;17/01/2019;1.000000;18:24:00;19:08:00;00:44:00;0.73
75.000000;-46.675998;-23.532031;AV SUMARE;AV SUMARE;R DR HOMEM DE MELO-AMBOS-LA;17/01/2019;1.000000;18:24:00;18:30:00;00:06:00;0.10
76.000000;-46.684077;-23.526943;R BR DO BANANAL;R BR DO BANANAL;R VENANCIO AIRES-AMBOS-LA;17/01/2019;1.000000;18:29:00;19:36:00;01:07:00;1.12
77.000000;-46.653970;-23.516721;MARGINAL TIETE;MARGINAL TIETE;PTE DA CASA VERDE-JORN WALTER ABRAHAO-A SENNACASTELO B - EXP-CV;17/01/2019;1.000000;18:32:00;21:53:00;03:21:00;3.35
78.000000;-46.674654;-23.519358;PC PASCOAL MARTINS;PC PASCOAL MARTINS;AV MARQ DE SAO VICENTE-AMBOS-LA;17/01/2019;1.000000;18:36:00;19:55:00;01:19:00;1.32
79.000000;-46.649496;-23.555771;R MANOEL DUTRA;R MANOEL DUTRA;PC QUATORZE BIS-UNICO-SE;17/01/2019;1.000000;18:37:00;19:22:00;00:45:00;0.75
80.000000;-46.684720;-23.503920;AV ANTONIO MUNHOZ BONILHA;AV ANTONIO MUNHOZ BONILHA;AV NSRA DO O-AMBOS-CV;17/01/2019;1.000000;18:41:00;19:02:00;00:21:00;0.35
81.000000;-46.638806;-23.549408;PC DA BANDEIRA;PC DA BANDEIRA;AV VINTE E TRES DE MAIO-CENTROBAIRRO-SE;17/01/2019;1.000000;18:41:00;19:27:00;00:46:00;0.77
82.000000;-46.642458;-23.536496;AV RIO BRANCO;AV RIO BRANCO;AV DUQUE DE CAXIAS-BAIRROCENTRO-SE;17/01/2019;1.000000;18:57:00;19:35:00;00:38:00;0.63
83.000000;-46.684676;-23.503909;AV NOSSA SENHORA DO O;AV NSRA DO O;AV ANTONIO MUNHOZ BONILHA-AMBOS-CV;17/01/2019;1.000000;18:58:00;19:02:00;00:04:00;0.07
84.000000;-46.649899;-23.555743;PC QUATORZE BIS;PC QUATORZE BIS;AV NOVE DE JULHO-AMBOS-SE;17/01/2019;1.000000;19:03:00;19:23:00;00:20:00;0.33
85.000000;-46.672639;-23.504115;AV NOSSA SENHORA DO O;AV NSRA DO O;AV PROF CELESTINO BOURROUL-CENTROBAIRRO-CV;17/01/2019;1.000000;19:09:00;19:42:00;00:33:00;0.55
86.000000;-46.708110;-23.554122;PC PANAMERICANA;PC PAN-AMERICANA;AV PEDROSO DE MORAIS-BAIRROCENTRO-PI;17/01/2019;1.000000;19:10:00;21:02:00;01:52:00;1.87
87.000000;-46.668290;-23.521270;AV MARQ DE SAO VICENTE;AV MARQ DE SAO VICENTE;PC LUIZ CARLOS MESQUITA-AMBOS-LA;17/01/2019;1.000000;19:12:00;19:55:00;00:43:00;0.72
88.000000;-46.653970;-23.516721;MARGINAL TIETE;MARGINAL TIETE;PTE DA CASA VERDE-JORN WALTER ABRAHAO-CASTELO BA SENNA - CENTRAL-LA;17/01/2019;1.000000;19:17:00;20:48:00;01:31:00;1.52
89.000000;-46.598964;-23.538101;AV CELSO GARCIA;AV CELSO GARCIA;R SALDANHA MARINHO-CENTROBAIRRO-MO;17/01/2019;1.000000;19:37:00;20:24:00;00:47:00;0.78
90.000000;-46.558262;-23.522975;MARGINAL TIETE;MARGINAL TIETE;PTE ARICANDUVA-DR MIGUEL ARRAES-CASTELO BA SENNA - EXP-PE;17/01/2019;1.000000;21:49:00;21:53:00;00:04:00;0.07
91.000000;-46.691685;-23.684293;R MIGUEL YUNES;R MIGUEL YUNES;AV INTERLAGOS-INTERLAGOSMARGINAL-SA;18/01/2019;1.000000;16:55:00;18:07:00;01:12:00;1.20
92.000000;-46.735880;-23.657100;AV MARIA COELHO AGUIAR;AV MARIA COELHO AGUIAR;ALTURA DO NUMERO 1447-BAIRROCENTRO-MB;18/01/2019;1.000000;17:51:00;18:14:00;00:23:00;0.38
93.000000;-46.731750;-23.592050;AV PROF FRANCISCO MORATO;AV PROF FRANCISCO MORATO BUTANTA;AV GAL FRANCISCO MORAZAN-AMBOS - LOCAL-BT;19/01/2019;1.000000;19:42:00;20:19:00;00:37:00;0.62
94.000000;-46.718570;-23.601109;AV JULES RIMET;AV JULES RIMET BUTANTAN;AV PDE LEBRET-AMBOS-BT;19/01/2019;1.000000;20:01:00;21:30:00;01:29:00;1.48
95.000000;-46.653024;-23.586792;AV VINTE E TRES DE MAIO;AV VINTE E TRES DE MAIO;VD GAL EUCLIDES DE FIGUEIREDO-AMBOS-MG;19/01/2019;1.000000;20:04:00;21:30:00;01:26:00;1.43
96.000000;-46.754312;-23.611754;R ALVES DOS SANTOS;R ALVES DOS SANTOS CAMPO LIMPO;ES DO CAMPO LIMPO-UNICO-CL;19/01/2019;1.000000;20:04:00;21:30:00;01:26:00;1.43
97.000000;-46.629691;-23.629153;AV PROF ABRAAO DE MORAIS;AV PROF ABRAAO DE MORAIS;VD MIN ALIOMAR BALEEIRO-S PAULOSANTOS-MG;20/01/2019;1.000000;02:00:00;08:29:00;06:29:00;6.48
