u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,from,to,grade,grade_abs,flood_count,flood_any,flood_duration_h,Mean Shortest Path Length,Closeness,Eigenvector,bet,Degree,Subgraph Centrality,Pagerank,junction,ref,bridge,tunnel,access,width,elevation,highway_code
597269,26359231,0,945566055,True,3.0,Avenida do Estado,trunk,50.0,False,34.336,"LINESTRING (-46.608044 -23.5689779, -46.6079448 -23.5690295, -46.607751 -23.5691303)",597269,26359231,0.0,0.0,0,False,0.0,28.349437686481522,0.035270020280362864,5.59948596525652e-15,0.008310761818679254,5,12.106378186206493,0.00012395114592298793,,BR-050,,,,,726.0,11
597269,1815130126,0,945566056,True,3.0,Avenida do Estado,trunk,50.0,False,21.401,"LINESTRING (-46.6082258 -23.5688816, -46.608044 -23.5689779)",1815130126,597269,0.047,0.047,0,False,0.0,27.42666972687629,0.036456677099198316,1.7141564102150895e-14,0.008562318847148635,5,12.094271396082632,0.0001245388574384184,,BR-050,,,,,726.5,11
597269,1990911144,0,944310443,True,3.0,Avenida Teresa Cristina,secondary,50.0,False,62.693000000000005,"LINESTRING (-46.6079923 -23.5695371, -46.6080473 -23.5692299, -46.608054 -23.5690898, -46.6080476 -23.5690182, -46.608044 -23.5689779)",1990911144,597269,0.032,0.032,0,False,0.0,28.31592839109479,0.035311759103527934,5.593799782961934e-15,0.0070093507952689645,5,12.106048084655738,0.00012392618578939063,,SP-160,,,,,727.0,7
597270,1417111800,0,128190711,True,2.0,Rua Presidente Batista Pereira,secondary,50.0,False,45.075,"LINESTRING (-46.6078851 -23.5685427, -46.6078394 -23.568394, -46.6078086 -23.5683319, -46.6077617 -23.5682889, -46.6076456 -23.5682295)",597270,1417111800,0.022,0.022,0,False,0.0,28.427128758319945,0.03517362765124297,1.9578241851404008e-14,0.00848828704898047,6,18.630042352183235,0.00013091655019584986,,,,,,,730.5,7
597270,1417145837,0,1031681178,True,3.0,Avenida do Estado,trunk,50.0,False,152.89100000000002,"LINESTRING (-46.6078851 -23.5685427, -46.6082324 -23.5683442, -46.608445 -23.5682059, -46.6085597 -23.5681228, -46.6086622 -23.5680326, -46.6087729 -23.5679054, -46.6088909 -23.567756, -46.6089808 -23.5676313)",597270,1417145837,0.013,0.013,4,True,10.670000000000002,27.5988065182465,0.03622929279489056,2.6669197986589163e-14,0.004770770231612509,5,11.951156924041728,0.00011384473483966529,,BR-050,,,,,731.0,11
597270,445062144,0,"[290573339, 1031681195]",True,3.0,Avenida do Estado,trunk,50.0,False,65.048,"LINESTRING (-46.6073433 -23.5688519, -46.6077845 -23.5686001, -46.6078851 -23.5685427)",445062144,597270,0.061,0.061,0,False,0.0,28.484048657333027,0.035103339913782686,1.2566258396885524e-14,0.002195143539221052,5,13.148220142470862,0.0001150338812829154,,BR-050,,,,,732.0,11
597270,8743354162,0,"[858472816, 857149658, 188462851]",True,3.0,Avenida Teresa Cristina,secondary,50.0,False,42.789,"LINESTRING (-46.6080255 -23.5689049, -46.6080088 -23.5688418, -46.6079796 -23.5687726, -46.6078999 -23.5685808, -46.6078851 -23.5685427)",8743354162,597270,-0.093,0.093,0,False,0.0,28.278173054854257,0.035358905265891825,1.3481675622516423e-14,0.012687451219906797,5,11.618641281580649,0.00011692912150040546,,SP-160,yes,,,,728.0,7
597282,130009702,0,"[944406432, 8213521, 858017730]",True,1.0,Viaduto do Rio Tamanduateí,trunk_link,40.0,False,511.15900000000005,"LINESTRING (-46.6261325 -23.5510876, -46.626125 -23.5509374, -46.6261146 -23.5508726, -46.6260986 -23.5508246, -46.6260785 -23.550789, -46.6260342 -23.5507404, -46.6259842 -23.5507037, -46.6259211 -23.5506716, -46.6258644 -23.5506566, -46.6257943 -23.5506525, -46.6257115 -23.5506665, -46.6256482 -23.5506896, -46.625601 -23.5507189, -46.6255601 -23.5507507, -46.6255227 -23.5507917, -46.625503 -23.5508329, -46.6254773 -23.5509171, -46.6254744 -23.5509897, -46.6254986 -23.5510949, -46.6255686 -23.5512482, -46.6258813 -23.5518567, -46.6261851 -23.5524689, -46.6263135 -23.5527344, -46.6265251 -23.5531863, -46.6269036 -23.5539279, -46.6269465 -23.5540321, -46.6269934 -23.5541793)",597282,130009702,0.002,0.002,0,False,0.0,20.393848978655036,0.049028765643288015,7.808306886501117e-09,0.0005165858297346703,4,6.255462406827496,0.0001077276549002005,,,yes,,,,726.5,12
597282,25872025,0,"[944404757, 974489742]",True,2.0,Avenida do Estado,trunk,50.0,False,121.232,"LINESTRING (-46.6261325 -23.5510876, -46.6263325 -23.5506556, -46.6264025 -23.5505044, -46.6264968 -23.5503526, -46.6266488 -23.5501074)",597282,25872025,-0.041,0.041,0,False,0.0,20.88271746614643,0.04788099268019256,1.6281721952455464e-09,0.004500138683717146,4,6.5640402301095975,0.00010551340028039968,,,,,,,723.5,11
597282,25871831,0,"[1189377203, 183489030]",True,3.0,Avenida do Estado,trunk,50.0,False,100.219,"LINESTRING (-46.6257308 -23.5519102, -46.6258392 -23.5516803, -46.6261325 -23.5510876)",25871831,597282,-0.03,0.03,0,False,0.0,20.971999081937113,0.04767715458276334,1.7165360210275566e-09,0.00434666119737872,5,10.716274867071863,0.00012527488775147114,,,,,,,724.5,11
