Node,ms,mean_comm,vuln,betw,all_degree,in_degree,out_degree,e_mean,vuln_efi
671,6.763636363636364,31.04990868446551,0.004046724176043129,472.8833333333335,6,3,3,0.010008203201272504,0.0017517558624708658
672,6.722222222222222,26.732719674292007,0.002977469806670223,246.4833333333335,5,2,3,0.01002195457641002,0.001811072368225029
673,6.582089552238806,29.95928768384541,0.0044554737935874715,1431.3666666666666,5,3,2,0.011427541563680171,0.005547535696919235
674,6.606060606060606,25.99547214746177,0.0026120309346776742,442.3,4,2,2,0.0113587846879926,0.0036193995364700166
675,9.365384615384615,13.374239999126933,0.0013692488687618626,58.0,4,2,2,0.006913115762125657,0.001383926902240154
676,5.951612903225806,38.18705000431061,0.004335939493802239,1784.0666666666666,5,2,3,0.0120639147248058,0.0054797868594148955
677,5.901639344262295,32.71559108311435,0.0024234158022285075,133.8,5,1,4,0.012462704603793702,0.0018628053689678722
678,8.588235294117647,14.047787314267802,0.0014620676068241676,49.9,4,2,2,0.007287530492976035,0.0011918293229488009
679,7.918367346938775,16.18629367798962,0.0016315535666745894,229.29999999999998,4,2,2,0.007459653932426209,0.0013972227117709534
680,8.877551020408163,6.242809792976174,0.0008419755954745444,28.0,4,3,1,0.006049906730599792,0.0007248223111028277
681,8.0625,9.943483922102642,0.0012932697428226132,170.5,4,3,1,0.0066345714241753785,0.0018379265695650962
682,7.23404255319149,17.07579724858716,0.0022722475849883223,426.0,5,3,2,0.007794231804132793,0.006458542440153908
683,6.456521739130435,18.971749531170953,0.0019131977421939282,344.0,5,2,3,0.008714472637739962,0.00498722418530252
684,6.928571428571429,7.697783150168758,0.0010412325929979292,10.0,5,4,1,0.006239225112987488,0.0010047436052488489
685,6.288461538461538,18.310266436800102,0.003339783853969154,565.0666666666667,6,4,2,0.009347035894065592,0.005186140723343665
686,5.976190476190476,18.907218530513425,0.003324273795927476,2042.5,6,3,3,0.008035386872020534,0.0080868244401238
687,6.097560975609756,11.209435400342638,0.002101244686774395,369.0,5,3,2,0.007210304363769713,0.005385335668336658
688,5.3,12.660252929688761,0.0022197692989199993,2296.0,6,4,2,0.007834682277751585,0.0226020497876374
689,4.648648648648648,21.41639192429184,0.002486280756662353,2284.5055555555555,5,4,1,0.007623173031588873,0.0223080155675996
690,2.7,9.45714289661555,0.0020365410345420374,223.13333333333333,5,3,2,0.0033965896589658964,0.0019694258446154578
691,2.1,16.37519845519273,0.0020180326251050965,230.3666666666666,5,3,2,0.003919141914191419,0.0009214197299486696
692,2.111111111111111,10.918055583839305,0.0017859191561512117,155.86666666666662,5,3,2,0.0035066006600660065,0.0017565327679045309
693,2.7333333333333334,25.014387734366476,0.00085802764504885,0.0,4,0,4,0.00598970611346849,0.0007016611592242158
694,1.5714285714285714,14.21666665840894,0.0021044258204125726,326.5,5,3,2,0.0031628162816281628,0.004991632563612973
695,1.5,9.20833333954215,0.0008646205179189994,56.0,3,1,2,0.0027502750275027505,0.0011267775803109348
