osmid,y,x,highway,street_count,elevation,ref,geometry
60609697,-23.561954,-46.655767,traffic_signals,3,831.0,,POINT (-46.655767 -23.561954)
60609753,-23.5637843,-46.6576459,traffic_signals,4,809.0,,POINT (-46.6576459 -23.5637843)
60609766,-23.5629117,-46.6567507,traffic_signals,4,821.0,,POINT (-46.6567507 -23.5629117)
60609796,-23.5626748,-46.6589131,traffic_signals,4,825.0,,POINT (-46.6589131 -23.5626748)
60609797,-23.5618125,-46.6580167,traffic_signals,4,830.0,,POINT (-46.6580167 -23.5618125)
60609803,-23.5735877,-46.6403313,traffic_signals,4,813.0,,POINT (-46.6403313 -23.5735877)
60609811,-23.5721836,-46.6430488,,3,821.0,,POINT (-46.6430488 -23.5721836)
60609819,-23.5716121,-46.643782,traffic_signals,3,823.0,,POINT (-46.643782 -23.5716121)
60609822,-23.5712522,-46.6442094,traffic_signals,4,827.0,,POINT (-46.6442094 -23.5712522)
60609866,-23.5713665,-46.6443028,traffic_signals,4,829.0,,POINT (-46.6443028 -23.5713665)
60609874,-23.5733496,-46.6425871,traffic_signals,4,820.0,,POINT (-46.6425871 -23.5733496)
60609946,-23.5772305,-46.640929,traffic_signals,4,828.0,,POINT (-46.640929 -23.5772305)
60609947,-23.5771818,-46.6407586,traffic_signals,3,823.0,,POINT (-46.6407586 -23.5771818)
60609955,-23.5763799,-46.6410022,traffic_signals,4,823.0,,POINT (-46.6410022 -23.5763799)
60609957,-23.5748993,-46.6416984,traffic_signals,4,819.0,,POINT (-46.6416984 -23.5748993)
60609958,-23.5742411,-46.6420087,traffic_signals,4,823.0,,POINT (-46.6420087 -23.5742411)
60609959,-23.5732947,-46.6424578,traffic_signals,4,820.0,,POINT (-46.6424578 -23.5732947)
60609963,-23.5702059,-46.6438173,,3,841.0,,POINT (-46.6438173 -23.5702059)
60609973,-23.5700965,-46.6439424,traffic_signals,4,842.0,,POINT (-46.6439424 -23.5700965)
60609976,-23.574126,-46.6445133,traffic_signals,4,831.0,,POINT (-46.6445133 -23.574126)
60609977,-23.5748337,-46.6462921,traffic_signals,4,810.0,,POINT (-46.6462921 -23.5748337)
60609981,-23.5746823,-46.6431159,,4,826.0,,POINT (-46.6431159 -23.5746823)
60609982,-23.5755775,-46.6426936,crossing,3,813.0,,POINT (-46.6426936 -23.5755775)
60609990,-23.5549853,-46.6635352,traffic_signals,3,821.0,,POINT (-46.6635352 -23.5549853)
60624525,-23.5480122,-46.6490136,traffic_signals,4,784.0,,POINT (-46.6490136 -23.5480122)
60624537,-23.5635788,-46.659847,traffic_signals,4,808.0,,POINT (-46.659847 -23.5635788)
60624540,-23.5643295,-46.6606014,,4,792.0,,POINT (-46.6606014 -23.5643295)
60624543,-23.5650694,-46.6613662,traffic_signals,4,777.0,,POINT (-46.6613662 -23.5650694)
60624546,-23.5660106,-46.6623531,,3,763.0,,POINT (-46.6623531 -23.5660106)
60624564,-23.5642285,-46.6623225,traffic_signals,4,774.0,,POINT (-46.6623225 -23.5642285)
60624566,-23.5649275,-46.6630655,,3,763.0,,POINT (-46.6630655 -23.5649275)
60624568,-23.5627306,-46.6607793,,4,819.0,,POINT (-46.6607793 -23.5627306)
60624570,-23.5634886,-46.6615602,,4,805.0,,POINT (-46.6615602 -23.5634886)
60624571,-23.5609737,-46.6589692,traffic_signals,4,834.0,,POINT (-46.6589692 -23.5609737)
60624576,-23.5618443,-46.659866,traffic_signals,4,824.0,,POINT (-46.659866 -23.5618443)
60624593,-23.5625279,-46.6629216,,4,789.0,,POINT (-46.6629216 -23.5625279)
60624596,-23.5599107,-46.6601752,traffic_signals,4,830.0,,POINT (-46.6601752 -23.5599107)
60624601,-23.5616451,-46.6619984,traffic_signals,4,809.0,,POINT (-46.6619984 -23.5616451)
