id,length,dir,municipio,distrito,bairro,nomesigla,tipo,nometit,nomeprep,name,start_left,end_left,start_righ,end_right,parity,left_zip,right_zip,cep_e,cep_d,extensao_m,nome_caps,onibus_msp,dist_cen_m,dist_cen_d,cdlog_cem,flood,Node,ms,mean_comm,vuln,betw,all_degree,in_degree,out_degree,e_mean,vuln_efi
217380,52.26,0,SAO PAULO,SE,CENTRO,,R,,,JOSE BONIFACIO,1,67,2,68,0,1003,1003,1003001.0,1003000.0,52,R JOSE BONIFACIO,0,171.5,171.5,SEE00029,0,1014,2.3,14.946230191068024,0.0023670269136131,172.21291156085198,5,3,2,0.0037128712871287,0.0006898479069542
217381,58.66,0,SAO PAULO,SE,CENTRO,,LG,,DA,MISERICORDIA,1,51,2,52,0,1012,1012,1012020.0,1012020.0,58,LG DA MISERICORDIA,0,206.82,206.82,SEE00060,0,1015,2.4545454545454546,10.6017857704137,0.001492459748073,104.15731753626488,5,3,2,0.0039191419141914,0.0015093626455024
217382,35.58,0,SAO PAULO,SE,CENTRO,,R,,,DIREITA,73,113,74,114,0,1002,1002,1002001.0,1002000.0,35,R DIREITA,0,184.95,184.95,SEE00042,0,1016,2.4444444444444446,8.977777837077156,0.0017388440627243,85.14695830485302,5,4,1,0.0028877887788778,0.0006330829285098
217383,67.52,0,SAO PAULO,SE,CENTRO,,R,,DO,TESOURO,1,67,2,66,0,1013,1013,1013020.0,1013020.0,67,R DO TESOURO,0,252.76,252.76,SEE00084,0,1017,1.8,5.041666682809591,0.0009795943579062,60.15731753626492,5,4,1,0.0017876787678767,0.0003403876367106
217384,59.34,0,SAO PAULO,SE,CENTRO,,PC,,DA,SE,0,0,72,134,0,0,1001,,1001000.0,59,PC DA SE,1,45.81,45.81,SEE00004,0,1018,3.0,11.010987181398376,0.0016745558244516,999.8280632411072,4,3,1,0.0036991199119912,0.0089517783271156
217385,30.01,0,SAO PAULO,SE,CENTRO,,PC,,DA,SE,0,0,38,70,0,0,1001,,1001000.0,30,PC DA SE,1,98.5,98.5,SEE00011,0,1019,2.25,21.01031747512752,0.0024358717619187,1031.6494792646968,4,2,2,0.0045379537953795,0.01065770875373
217386,34.91,0,SAO PAULO,SE,CENTRO,,PC,,DA,SE,0,0,2,36,0,0,1001,,1001000.0,34,PC DA SE,1,127.4,127.4,SEE00019,0,1020,1.6363636363636365,28.81249994272366,0.0022087965815411,612.543832737311,5,1,4,0.0055005500550055,0.0039079949285285
217387,64.16,0,SAO PAULO,SE,CENTRO,,PC,,DA,SE,0,0,0,0,0,1001,1001,1001001.0,1001000.0,64,PC DA SE,1,125.92,125.92,SEE00018,0,1021,2.0,6.800000024028122,0.0008948356951126,193.1056465273858,4,3,1,0.0021314631463146,0.001690843597039
217388,72.01,0,SAO PAULO,SE,CENTRO,,PC,,DA,SE,77,149,0,0,0,1001,0,1001001.0,,72,PC DA SE,1,133.57,133.57,SEE00023,0,1022,1.4,8.541666682809591,0.0011662263996588,85.1056465273857,5,3,2,0.0023377337733773,0.0005783123952543
217389,75.87,0,SAO PAULO,SE,CENTRO,,R,,,DIREITA,1,71,2,72,0,1002,1002,1002001.0,1002000.0,75,R DIREITA,0,161.75,161.75,SEE00026,0,1023,1.75,14.475000048056245,0.0026532925943601,214.94320319903835,5,3,2,0.0034378437843784,0.0016344379080847
