design_d1,district,metric,n_edges_d1,n_flooded_d1,p_MWU_d1,rank_biserial_d1,CI_low_d1,CI_high_d1,se_d1,p_BH_d1,design_d2,n_edges_d2,n_flooded_d2,p_MWU_d2,rank_biserial_d2,CI_low_d2,CI_high_d2,se_d2,p_BH_d2
design1,BOM RETIRO,Mean shortest path length,672,19,0.8894013495616004,-0.018779721125171234,-0.28233370476366043,0.24477426251331796,0.13446631818290267,0.952930017387429,design2,672,19,0.037203023842478665,-0.2802450229709035,-0.5437990066093927,-0.01669103933241428,0.13446631818290267,0.11943685460997938
design1,BOM RETIRO,Closeness,672,19,0.8894013495616004,0.018779721125171234,-0.24477426251331796,0.28233370476366043,0.13446631818290267,0.952930017387429,design2,672,19,0.037203023842478665,0.2802450229709035,0.01669103933241428,0.5437990066093927,0.13446631818290267,0.11943685460997938
design1,BOM RETIRO,Betweenness,672,19,0.06841282881237087,0.24510357056500354,-0.01845041307348566,0.5086575542034928,0.13446631818290267,0.2798706633233354,design2,672,19,0.0963467422042531,0.22366406061094546,-0.03988992302754374,0.48721804424943466,0.13446631818290267,0.20964013078293361
design1,BOM RETIRO,PageRank,672,19,0.6521683781922313,-0.06069154509551056,-0.32424552873399975,0.20286243854297864,0.13446631818290267,0.8631640299603062,design2,672,19,0.8105150449950927,-0.03232046425405011,-0.2958744478925393,0.2312335193844391,0.13446631818290267,0.8991979764662063
design1,CAMBUCI,Degree,691,6,0.1643387272306902,0.30364963503649633,-0.16068125908711434,0.767980529160107,0.23690351741000545,0.4242588632693429,design2,691,5,0.24320502683253198,0.2790087463556852,-0.22926939272435298,0.7872868854357233,0.2593255811632848,0.40629640141901263
design1,CAMBUCI,Mean shortest path length,691,6,0.0011351826543692695,-0.7712895377128954,-1.235620431836506,-0.30695864358928476,0.23690351741000545,0.012770804861654281,design2,691,5,0.08439875486325754,-0.4478134110787172,-0.9560915501587554,0.060464728001320966,0.2593255811632848,0.19264933175308788
design1,CAMBUCI,Closeness,691,6,0.0011351826543692695,0.7712895377128954,0.30695864358928476,1.235620431836506,0.23690351741000545,0.012770804861654281,design2,691,5,0.08439875486325754,0.4478134110787173,-0.060464728001320855,0.9560915501587555,0.2593255811632848,0.19264933175308788
design1,CAMBUCI,Betweenness,691,6,0.25207322898119566,0.2715328467153284,-0.19279804740828227,0.735863740838939,0.23690351741000545,0.4821437772560091,design2,691,5,0.6184005062245101,0.12944606413994175,-0.3788320749400964,0.6377242032199799,0.2593255811632848,0.7918543067508972
design1,CAMBUCI,PageRank,691,6,0.9206436685352501,-0.023844282238442815,-0.4881751763620535,0.44048661188516786,0.23690351741000545,0.9634643042810757,design2,691,5,0.788164935140093,0.06997084548104948,-0.4383072935989887,0.5782489845610876,0.2593255811632848,0.8946737101590245
design1,REPUBLICA,Degree,617,23,0.3410153994857349,0.11133069828721998,-0.12934516653407988,0.35200656310851985,0.12279380858229584,0.5683589991428916,design2,617,21,0.2229858089321204,0.14884947267497606,-0.10260357532157566,0.4003025206715278,0.1282923714268121,0.38070747866459576
design1,REPUBLICA,Mean shortest path length,617,23,0.9709942897505246,-0.004538134972917551,-0.2452139997942174,0.2361377298483823,0.12279380858229584,0.9709942897505246,design2,617,21,0.9781388937208076,-0.0035953978906999584,-0.2550484458872517,0.24785765010585176,0.1282923714268121,0.9847779107220243
design1,REPUBLICA,Closeness,617,23,0.9709942897505246,0.004538134972917662,-0.2361377298483822,0.2452139997942175,0.12279380858229584,0.9709942897505246,design2,617,21,0.9781388937208076,0.0035953978906999584,-0.24785765010585176,0.2550484458872517,0.1282923714268121,0.9847779107220243
design1,REPUBLICA,Betweenness,617,23,0.21348659624946464,0.15283267457180494,-0.08784319024949491,0.3935085393931048,0.12279380858229584,0.45747127767742424,design2,617,21,0.7855029735892021,0.03499520613614582,-0.2164578418604059,0.28644825413269753,0.1282923714268121,0.8946737101590245
design1,REPUBLICA,PageRank,617,23,0.5772945548595165,0.06851119894598146,-0.1721646658753184,0.30918706376728133,0.12279380858229584,0.7872198475357044,design2,617,21,0.717475837628628,0.04650047938638546,-0.20495256861016625,0.2979535273829372,0.1282923714268121,0.842218928653696
design1,SANTA CECILIA,Degree,619,17,0.018278006304826424,0.31854602306038693,0.04001820150925184,0.597073844611522,0.14210603140364036,0.16450205674343782,design2,619,17,0.018278006304826424,0.31854602306038693,0.04001820150925184,0.597073844611522,0.14210603140364036,0.0783343127349704
